Time,Function,Symbol,Error
2024-01-18 18:14:14,create_stock_data_db,BKN,"{'code': 'PGRST102', 'details': None, 'hint': None, 'message': 'Empty or invalid json'}"
2024-01-18 18:14:17,create_stock_data_db,BTA,"{'code': 'PGRST102', 'details': None, 'hint': None, 'message': 'Empty or invalid json'}"
2024-01-18 18:14:18,create_stock_data_db,MUA,"{'code': 'PGRST102', 'details': None, 'hint': None, 'message': 'Empty or invalid json'}"
2024-01-18 18:14:21,create_stock_data_db,MUI,"{'code': 'PGRST102', 'details': None, 'hint': None, 'message': 'Empty or invalid json'}"
2024-01-18 18:14:24,create_stock_data_db,BFK,"{'code': 'PGRST102', 'details': None, 'hint': None, 'message': 'Empty or invalid json'}"
2024-01-18 18:14:29,create_stock_data_db,MHD,"{'code': 'PGRST102', 'details': None, 'hint': None, 'message': 'Empty or invalid json'}"
2024-01-18 18:14:31,create_stock_data_db,MUJ,"{'code': 'PGRST102', 'details': None, 'hint': None, 'message': 'Empty or invalid json'}"
2024-01-18 18:14:35,create_stock_data_db,MVT,"{'code': 'PGRST102', 'details': None, 'hint': None, 'message': 'Empty or invalid json'}"
2024-01-18 18:14:41,create_stock_data_db,MYN,"{'code': 'PGRST102', 'details': None, 'hint': None, 'message': 'Empty or invalid json'}"
2024-01-18 18:14:43,create_stock_data_db,MPA,"{'code': 'PGRST102', 'details': None, 'hint': None, 'message': 'Empty or invalid json'}"
2024-01-18 18:14:44,create_stock_data_db,MQT,"{'code': 'PGRST102', 'details': None, 'hint': None, 'message': 'Empty or invalid json'}"
2024-01-18 18:14:46,create_stock_data_db,MYI,"{'code': 'PGRST102', 'details': None, 'hint': None, 'message': 'Empty or invalid json'}"
2024-01-18 18:14:49,create_stock_data_db,BNY,"{'code': 'PGRST102', 'details': None, 'hint': None, 'message': 'Empty or invalid json'}"
2024-01-18 18:14:52,create_stock_data_db,BHV,"{'code': 'PGRST102', 'details': None, 'hint': None, 'message': 'Empty or invalid json'}"
2024-01-18 18:15:08,create_stock_data_db,BCSA,'Growth'
2024-01-18 18:15:08,create_stock_data_db,BCSAU,'NoneType' object is not subscriptable
2024-01-18 18:15:09,create_stock_data_db,BCSAW,'NoneType' object is not subscriptable
2024-01-18 18:15:13,create_stock_data_db,APRN,'NoneType' object is not subscriptable
2024-01-18 18:15:18,create_stock_data_db,BOCN,'Growth'
2024-01-18 18:15:38,create_stock_data_db,BOAC,'NoneType' object is not subscriptable
2024-01-18 18:15:40,create_stock_data_db,BMTX,"{'code': 'PGRST102', 'details': None, 'hint': None, 'message': 'Empty or invalid json'}"
2024-01-18 18:15:40,create_stock_data_db,DHF,'NoneType' object is not subscriptable
2024-01-18 18:16:08,create_stock_data_db,BRQS,'NoneType' object is not subscriptable
2024-01-18 18:16:36,create_stock_data_db,BWAY,"{'code': 'PGRST102', 'details': None, 'hint': None, 'message': 'Empty or invalid json'}"
2024-01-18 18:16:46,create_stock_data_db,BREZR,'NoneType' object is not subscriptable
2024-01-18 18:16:48,create_stock_data_db,BRDG,'NoneType' object is not subscriptable
2024-01-18 18:16:55,create_stock_data_db,BTWN,'NoneType' object is not subscriptable
2024-01-18 18:16:55,create_stock_data_db,BTWNU,'NoneType' object is not subscriptable
2024-01-18 18:16:57,create_stock_data_db,BWBBP,'NoneType' object is not subscriptable
2024-01-18 18:17:08,create_stock_data_db,BHFAL,'NoneType' object is not subscriptable
2024-01-18 18:17:08,create_stock_data_db,BHFAP,'NoneType' object is not subscriptable
2024-01-18 18:17:09,create_stock_data_db,BHFAO,'NoneType' object is not subscriptable
2024-01-18 18:17:09,create_stock_data_db,BHFAM,'NoneType' object is not subscriptable
2024-01-18 18:17:10,create_stock_data_db,BHFAN,'NoneType' object is not subscriptable
2024-01-18 18:17:17,create_stock_data_db,BRLIU,'NoneType' object is not subscriptable
2024-01-18 18:18:05,create_stock_data_db,BPYPN,'NoneType' object is not subscriptable
2024-01-18 18:18:05,create_stock_data_db,BPYPO,'NoneType' object is not subscriptable
2024-01-18 18:18:06,create_stock_data_db,BPYPP,'NoneType' object is not subscriptable
2024-01-18 18:18:32,create_stock_data_db,BUJAU,'NoneType' object is not subscriptable
2024-01-18 18:18:44,create_stock_data_db,BRKH,'Growth'
2024-01-18 18:18:48,create_stock_data_db,BZFD,'NoneType' object is not subscriptable
2024-01-18 18:18:52,create_stock_data_db,BYNOU,'NoneType' object is not subscriptable
2024-01-18 18:18:56,create_stock_data_db,BYTSU,'NoneType' object is not subscriptable
2024-01-18 18:19:02,create_stock_data_db,CISS,'Growth'
2024-01-18 18:19:04,create_stock_data_db,CXAC,'NoneType' object is not subscriptable
2024-01-18 18:19:17,create_stock_data_db,CDZIP,'NoneType' object is not subscriptable
2024-01-18 18:19:19,create_stock_data_db,CVKD,'NoneType' object is not subscriptable
2024-01-18 18:19:35,create_stock_data_db,CALC,"{'code': 'PGRST102', 'details': None, 'hint': None, 'message': 'Empty or invalid json'}"
2024-01-18 18:20:14,create_stock_data_db,CNGLW,'NoneType' object is not subscriptable
2024-01-18 18:20:14,create_stock_data_db,CNGL,'Growth'
2024-01-18 18:20:19,create_stock_data_db,GOEVW,'NoneType' object is not subscriptable
2024-01-18 18:20:39,create_stock_data_db,CGRN,'NoneType' object is not subscriptable
2024-01-18 18:20:54,create_stock_data_db,CCLDP,'NoneType' object is not subscriptable
2024-01-18 18:20:55,create_stock_data_db,CCLDO,'NoneType' object is not subscriptable
2024-01-18 18:21:12,create_stock_data_db,CCL,"{'code': 'PGRST102', 'details': None, 'hint': None, 'message': 'Empty or invalid json'}"
2024-01-18 18:21:29,create_stock_data_db,RENE,'Growth'
2024-01-18 18:21:30,create_stock_data_db,CITE,'Growth'
2024-01-18 18:21:35,create_stock_data_db,CCAI,'NoneType' object is not subscriptable
2024-01-18 18:21:35,create_stock_data_db,CCAIU,'NoneType' object is not subscriptable
2024-01-18 18:21:40,create_stock_data_db,CASI,"{'code': 'PGRST102', 'details': None, 'hint': None, 'message': 'Empty or invalid json'}"
2024-01-18 18:21:50,create_stock_data_db,CBIO,'NoneType' object is not subscriptable
2024-01-18 18:22:18,create_stock_data_db,PRPC,'NoneType' object is not subscriptable
2024-01-18 18:22:43,create_stock_data_db,CELUW,'NoneType' object is not subscriptable
2024-01-18 18:22:45,create_stock_data_db,CX,"{'code': 'PGRST102', 'details': None, 'hint': None, 'message': 'Empty or invalid json'}"
2024-01-18 18:22:47,create_stock_data_db,CETXP,'NoneType' object is not subscriptable
2024-01-18 18:23:25,create_stock_data_db,CETU,'NoneType' object is not subscriptable
2024-01-18 18:23:28,create_stock_data_db,CFIVU,'NoneType' object is not subscriptable
2024-01-18 18:23:39,create_stock_data_db,CBRGU,'NoneType' object is not subscriptable
2024-01-18 18:23:58,create_stock_data_db,CCF,'NoneType' object is not subscriptable
2024-01-18 18:24:00,create_stock_data_db,CLAY,'Growth'
2024-01-18 18:24:01,create_stock_data_db,CLAYU,'NoneType' object is not subscriptable
2024-01-18 18:24:29,create_stock_data_db,REFI,'Growth'
2024-01-18 18:24:31,create_stock_data_db,CSSEP,'NoneType' object is not subscriptable
2024-01-18 18:25:00,create_stock_data_db,CHSCL,'NoneType' object is not subscriptable
2024-01-18 18:25:00,create_stock_data_db,CHSCM,'NoneType' object is not subscriptable
2024-01-18 18:25:01,create_stock_data_db,CHSCN,'NoneType' object is not subscriptable
2024-01-18 18:25:01,create_stock_data_db,CHSCP,'NoneType' object is not subscriptable
2024-01-18 18:25:01,create_stock_data_db,CHSCO,'NoneType' object is not subscriptable
2024-01-18 18:25:05,create_stock_data_db,CCV,'NoneType' object is not subscriptable
2024-01-18 18:25:29,create_stock_data_db,CIFR,'Growth'
2024-01-18 18:25:29,create_stock_data_db,CIR,'NoneType' object is not subscriptable
2024-01-18 18:26:00,create_stock_data_db,CLIN,'Growth'
