Time,Function,Symbol,Error
2024-01-24 15:06:25,create_stock_data_db,RILYL,'NoneType' object is not subscriptable
2024-01-24 15:06:25,create_stock_data_db,RILYP,'NoneType' object is not subscriptable
2024-01-24 15:07:13,create_stock_data_db,OZKAP,'NoneType' object is not subscriptable
2024-01-24 15:07:23,create_stock_data_db,BNIXR,'NoneType' object is not subscriptable
2024-01-24 15:07:24,create_stock_data_db,BYN,'Growth'
2024-01-24 15:07:56,create_stock_data_db,BFAC,'Growth'
2024-01-24 15:08:17,create_stock_data_db,BRD,'Growth'
2024-01-24 15:08:32,create_stock_data_db - Update data_stock,BLTE,"{'code': 'PGRST102', 'details': None, 'hint': None, 'message': 'Empty or invalid json'}"
2024-01-24 15:08:37,create_stock_data_db,BLACU,'NoneType' object is not subscriptable
2024-01-24 15:08:43,create_stock_data_db,BENFW,'NoneType' object is not subscriptable
2024-01-24 15:08:49,create_stock_data_db,BACA,'Growth'
2024-01-24 15:09:31,create_stock_data_db,BIOC,'NoneType' object is not subscriptable
2024-01-24 15:09:59,create_stock_data_db,BVXV,'NoneType' object is not subscriptable
2024-01-24 15:10:01,create_stock_data_db,BIOS,'NoneType' object is not subscriptable
2024-01-24 15:10:21,create_stock_data_db,BTB,'NoneType' object is not subscriptable
2024-01-24 15:10:33,create_stock_data_db,BNMV,'NoneType' object is not subscriptable
2024-01-24 15:10:42,create_stock_data_db,BKI,'NoneType' object is not subscriptable
2024-01-24 15:10:42,create_stock_data_db,BMAC,'Growth'
2024-01-24 15:10:44,create_stock_data_db - Update data_stock,BSM,"{'code': 'PGRST102', 'details': None, 'hint': None, 'message': 'Empty or invalid json'}"
2024-01-24 15:10:51,create_stock_data_db - Update data_stock,BFZ,"{'code': 'PGRST102', 'details': None, 'hint': None, 'message': 'Empty or invalid json'}"
2024-01-24 15:10:52,create_stock_data_db - Update data_stock,CII,"{'code': 'PGRST102', 'details': None, 'hint': None, 'message': 'Empty or invalid json'}"
2024-01-24 15:11:03,create_stock_data_db - Update data_stock,BGR,"{'code': 'PGRST102', 'details': None, 'hint': None, 'message': 'Empty or invalid json'}"
2024-01-24 15:11:24,create_stock_data_db - Update data_stock,BTA,"{'code': 'PGRST102', 'details': None, 'hint': None, 'message': 'Empty or invalid json'}"
2024-01-24 15:12:17,create_stock_data_db,BCSA,'Growth'
2024-01-24 15:12:17,create_stock_data_db,BCSAU,'NoneType' object is not subscriptable
2024-01-24 15:12:18,create_stock_data_db,BCSAW,'NoneType' object is not subscriptable
2024-01-24 15:12:22,create_stock_data_db,APRN,'NoneType' object is not subscriptable
2024-01-24 15:12:28,create_stock_data_db,BOCN,'Growth'
2024-01-24 15:12:49,create_stock_data_db,BOAC,'NoneType' object is not subscriptable
2024-01-24 15:12:51,create_stock_data_db - Update data_stock,BMTX,"{'code': 'PGRST102', 'details': None, 'hint': None, 'message': 'Empty or invalid json'}"
2024-01-24 15:12:52,create_stock_data_db,DHF,'NoneType' object is not subscriptable
2024-01-24 15:13:19,create_stock_data_db,BRQS,'NoneType' object is not subscriptable
2024-01-24 15:13:45,create_stock_data_db - Update data_stock,BWAY,"{'code': 'PGRST102', 'details': None, 'hint': None, 'message': 'Empty or invalid json'}"
2024-01-24 15:13:57,create_stock_data_db,BREZR,'NoneType' object is not subscriptable
2024-01-24 15:13:59,create_stock_data_db,BRDG,'NoneType' object is not subscriptable
2024-01-24 15:14:04,create_stock_data_db,BTWN,'NoneType' object is not subscriptable
2024-01-24 15:14:04,create_stock_data_db,BTWNU,'NoneType' object is not subscriptable
2024-01-24 15:14:06,create_stock_data_db,BWBBP,'NoneType' object is not subscriptable
2024-01-24 15:14:17,create_stock_data_db,BHFAL,'NoneType' object is not subscriptable
2024-01-24 15:14:18,create_stock_data_db,BHFAP,'NoneType' object is not subscriptable
2024-01-24 15:14:18,create_stock_data_db,BHFAO,'NoneType' object is not subscriptable
2024-01-24 15:14:18,create_stock_data_db,BHFAM,'NoneType' object is not subscriptable
2024-01-24 15:14:19,create_stock_data_db,BHFAN,'NoneType' object is not subscriptable
2024-01-24 15:14:26,create_stock_data_db,BRLIU,'NoneType' object is not subscriptable
2024-01-24 15:14:59,create_stock_data_db,BPYPN,'NoneType' object is not subscriptable
2024-01-24 15:15:00,create_stock_data_db,BPYPO,'NoneType' object is not subscriptable
2024-01-24 15:15:00,create_stock_data_db,BPYPP,'NoneType' object is not subscriptable
2024-01-24 15:15:29,create_stock_data_db,BUJAU,'NoneType' object is not subscriptable
2024-01-24 15:15:41,create_stock_data_db,BRKH,'Growth'
2024-01-24 15:15:47,create_stock_data_db,BZFD,'NoneType' object is not subscriptable
2024-01-24 15:15:54,create_stock_data_db,BYNOU,'NoneType' object is not subscriptable
2024-01-24 15:16:02,create_stock_data_db,BYTSU,'NoneType' object is not subscriptable
2024-01-24 15:16:16,create_stock_data_db,CISS,'Growth'
2024-01-24 15:16:20,create_stock_data_db,CXAC,'NoneType' object is not subscriptable
2024-01-24 15:16:34,create_stock_data_db,CDZIP,'NoneType' object is not subscriptable
2024-01-24 15:17:10,create_stock_data_db - Update data_stock,CALC,"{'code': 'PGRST102', 'details': None, 'hint': None, 'message': 'Empty or invalid json'}"
2024-01-24 15:18:00,create_stock_data_db,CNGLW,'NoneType' object is not subscriptable
2024-01-24 15:18:00,create_stock_data_db,CNGL,'Growth'
2024-01-24 15:18:04,create_stock_data_db,GOEVW,'NoneType' object is not subscriptable
2024-01-24 15:18:26,create_stock_data_db,CGRN,'NoneType' object is not subscriptable
2024-01-24 15:18:43,create_stock_data_db,CCLDP,'NoneType' object is not subscriptable
2024-01-24 15:18:43,create_stock_data_db,CCLDO,'NoneType' object is not subscriptable
2024-01-24 15:19:15,create_stock_data_db,RENE,'Growth'
2024-01-24 15:19:15,create_stock_data_db,CITE,'Growth'
2024-01-24 15:19:22,create_stock_data_db,CCAI,'NoneType' object is not subscriptable
2024-01-24 15:19:22,create_stock_data_db,CCAIU,'NoneType' object is not subscriptable
2024-01-24 15:19:28,create_stock_data_db - Update data_stock,CASI,"{'code': 'PGRST102', 'details': None, 'hint': None, 'message': 'Empty or invalid json'}"
